Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		4,216 K	11,900 K	1620	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,416 K	6,956 K	1632	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	3,684 K	8,520 K	1640	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,648 K	8,252 K	1824	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,128 K	7,364 K	1964	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,504 K	6,836 K	1844	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,752 K	9,620 K	2120	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,308 K	5,644 K	2180	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	85,440 K	86,644 K	2188	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,920 K	7,532 K	2196	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,812 K	7,900 K	2308	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,664 K	7,428 K	2332	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,888 K	9,612 K	2340	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,380 K	13,524 K	2420	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		10,188 K	18,544 K	2500	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,700 K	6,428 K	2508	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,256 K	9,496 K	2516	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,032 K	11,956 K	2600	Host Process for Windows Services	Microsoft Corporation
  spoolsv.exe		5,232 K	14,392 K	2696	Spooler SubSystem App	Microsoft Corporation
  svchost.exe		9,812 K	18,596 K	2724	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,140 K	8,272 K	2772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		27,084 K	36,052 K	2960	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		15,900 K	32,476 K	2968	Host Process for Windows Services	Microsoft Corporation
